org,address,DBA or Program Name (if Applicable),Organization Address,Borough,Website (if Available),Phone Number,Organization Type,Mission Statement or Organizational Summary,Population Served,Types of Services Provided,Description of Programs or Service Opportunities Available to Participants,Hours of Operation and Participant Schedule,Service Location(s),Expected Participant Activities/Duties
A Blend of Services,"937 Home Street, Bronx, 10459",Going Deeper,"937 Home Street, Bronx, 10459",Bronx,https://changingthebronx.org,(646) 698-1656,501(c)(3) Nonprofit,"Mission Statement:  Going Deeper LLC with A Blend of Services as Fiscal Agent
Going Deeper LLC, supported by the ethical stewardship and financial accountability of A Blend of Services Inc., exists to uplift individuals and families by meeting urgent needs, restoring dignity, and guiding people toward long-term stability. Rooted in faith, compassion, and community partnership, we provide trauma-informed support, practical resources, advocacy, and pathways to personal and economic empowerment. Through transparent fiscal management and a shared commitment to integrity, both organizations work together to ensure that every program, every service, and every act of care moves people from crisis to confidence, from surviving to thriving, and from challenge to renewed hope.",Youth 14-24; Adults 25+; justice-involved individuals; SNAP/Employment Program Participants,Community service/volunteer opportunities; Food pantry/meal service; Administrative/office support; Arts/recreation,"Program and Service Opportunities Available for Participants
Going Deeper LLC, in partnership with A Blend of Services Inc. as fiscal agent, offers a continuum of trauma-informed, community-rooted programs designed to meet immediate needs while building long-term stability. Each service is intentionally structured to restore dignity, strengthen families, and create pathways toward healing, empowerment, and self-sufficiency.

1. Bags of Victory (Emergency Support & Dignity Kits)
Participants receive curated care packages filled with hygiene essentials, seasonal items, snacks, and resource information. These bags are distributed during outreach events, crisis encounters, and community gatherings, ensuring individuals facing hardship have immediate support and a tangible reminder that they are seen and valued.

2. Trauma Tuesdays (Healing & Emotional Wellness)
A weekly safe space offering group discussions, coping tools, and guided support for individuals navigating trauma, grief, or life transitions. Sessions are facilitated through a trauma-informed lens and focus on emotional regulation, resilience building, and restoring hope.

3. Garden of Hope & Second Chance Garden (Food Access & Therapeutic Engagement)
Participants engage in hands-on gardening activities that promote food security, environmental awareness, and emotional wellness. The garden serves as both a learning environment and a therapeutic space, offering opportunities for skill-building, community bonding, and fresh produce distribution.

4. Compassion Cosmetics Workforce Pathway (Employment & Skills Development)
This program provides hands-on training in beauty, self-care, and customer-service skills while building confidence and employability. Participants gain practical experience, mentorship, and access to workforce readiness tools that support entry into employment or entrepreneurship.

5. Crisis Navigation & Resource Coordination
Participants receive one-on-one support connecting to essential city and state programs, including housing assistance, SNAP, Medicaid, workforce development, re-entry services, and emergency food resources. Staff help individuals complete applications, gather documents, and navigate complex systems with dignity and care.

6. Senior Advocacy & Support
Dedicated outreach for older adults?especially those who are isolated, homebound, or underserved. Services include wellness checks, resource navigation, benefits assistance, and connection to community programs that promote safety, independence, and social engagement.

7. Community Cleanups & Service Days
Participants of all ages engage in neighborhood beautification, park cleanups, and community service projects that build pride, unity, and civic responsibility. These events also serve as entry points for residents to learn about additional programs and supports.

8. Youth & Family Engagement Events
Seasonal events, workshops, and family-centered activities create safe, uplifting spaces for children and caregivers. Opportunities include back-to-school drives, sports-themed gatherings, holiday outreach, and empowerment workshops that strengthen family bonds and community connection.

9. Transitional Housing Support & Advocacy
Participants experiencing housing instability receive guidance, referrals, and advocacy to access emergency shelter, supportive housing, rental assistance, and stabilization services. Staff walk alongside individuals through each step, ensuring no one navigates the system alone.

10. Faith-Rooted Mentorship & Encouragement
For participants who desire it, Going Deeper offers spiritual encouragement, prayer support, and mentorship grounded in compassion and respect. These optional services help individuals build inner strength, purpose, and hope as they work toward personal transformation",Flexible hours,937 Home Street,"Expected Participant Activities/Duties
Participants in Going Deeper LLC programs engage in meaningful, community-centered activities that promote personal growth, skill-building, and service to others. While each program has its own focus, participants are generally expected to:

1. Actively Engage in Program Sessions
Attend scheduled workshops, support groups, trainings, or service days.

Participate in discussions, activities, and hands-on learning opportunities.

Contribute respectfully to a safe, trauma-informed environment.

2. Contribute to Community Service Projects
Assist with community cleanups, garden maintenance, outreach events, or distribution days.

Help prepare, assemble, or distribute Bags of Victory and other resource kits.

Support neighborhood beautification and family-friendly engagement events.

3. Demonstrate Responsibility and Accountability
Arrive on time and communicate if unable to attend.

Follow program guidelines, safety protocols, and staff instructions.

Treat fellow participants, volunteers, and community members with dignity and respect.

4. Participate in Skill-Building and Workforce Activities (as applicable)
Engage in hands-on training through Compassion Cosmetics or other workforce pathways.

Practice customer service, communication, and teamwork skills.

Complete assigned tasks that build confidence and employability.

5. Support Garden-Based Learning (for Garden of Hope participants)
Assist with planting, watering, weeding, harvesting, and garden upkeep.

Participate in environmental education and therapeutic garden activities.

Help distribute produce to community members when available.

6. Engage in Personal Development and Wellness Activities
Take part in Trauma Tuesdays, mentorship sessions, or emotional-wellness workshops.

Practice coping strategies, reflection exercises, and resilience-building tools.

Set personal goals and work with staff to track progress.

7. Participate in Resource Navigation (as needed)
Work with staff to complete applications for benefits, housing, or employment.

Gather required documents and follow through on next steps.

Communicate needs, barriers, or changes in circumstances.

8. Uphold a Community-Centered, Respectful Atmosphere
Contribute to a welcoming, inclusive environment for all ages and backgrounds.

Model kindness, cooperation, and positive engagement.

Support peers and encourage a culture of mutual respect."
A Blend of Services,"2774 Dewey Ave Bronx, NY 10465",Going Deeper,"2774 Dewey Ave Bronx, NY 10465",Bronx,https://changingthebronx.org,(646) 698-1656,501(c)(3) Nonprofit,"Mission Statement:  Going Deeper LLC with A Blend of Services as Fiscal Agent
Going Deeper LLC, supported by the ethical stewardship and financial accountability of A Blend of Services Inc., exists to uplift individuals and families by meeting urgent needs, restoring dignity, and guiding people toward long-term stability. Rooted in faith, compassion, and community partnership, we provide trauma-informed support, practical resources, advocacy, and pathways to personal and economic empowerment. Through transparent fiscal management and a shared commitment to integrity, both organizations work together to ensure that every program, every service, and every act of care moves people from crisis to confidence, from surviving to thriving, and from challenge to renewed hope.",Youth 14-24; Adults 25+; justice-involved individuals; SNAP/Employment Program Participants,Community service/volunteer opportunities; Food pantry/meal service; Administrative/office support; Arts/recreation,"Program and Service Opportunities Available for Participants
Going Deeper LLC, in partnership with A Blend of Services Inc. as fiscal agent, offers a continuum of trauma-informed, community-rooted programs designed to meet immediate needs while building long-term stability. Each service is intentionally structured to restore dignity, strengthen families, and create pathways toward healing, empowerment, and self-sufficiency.

1. Bags of Victory (Emergency Support & Dignity Kits)
Participants receive curated care packages filled with hygiene essentials, seasonal items, snacks, and resource information. These bags are distributed during outreach events, crisis encounters, and community gatherings, ensuring individuals facing hardship have immediate support and a tangible reminder that they are seen and valued.

2. Trauma Tuesdays (Healing & Emotional Wellness)
A weekly safe space offering group discussions, coping tools, and guided support for individuals navigating trauma, grief, or life transitions. Sessions are facilitated through a trauma-informed lens and focus on emotional regulation, resilience building, and restoring hope.

3. Garden of Hope & Second Chance Garden (Food Access & Therapeutic Engagement)
Participants engage in hands-on gardening activities that promote food security, environmental awareness, and emotional wellness. The garden serves as both a learning environment and a therapeutic space, offering opportunities for skill-building, community bonding, and fresh produce distribution.

4. Compassion Cosmetics Workforce Pathway (Employment & Skills Development)
This program provides hands-on training in beauty, self-care, and customer-service skills while building confidence and employability. Participants gain practical experience, mentorship, and access to workforce readiness tools that support entry into employment or entrepreneurship.

5. Crisis Navigation & Resource Coordination
Participants receive one-on-one support connecting to essential city and state programs, including housing assistance, SNAP, Medicaid, workforce development, re-entry services, and emergency food resources. Staff help individuals complete applications, gather documents, and navigate complex systems with dignity and care.

6. Senior Advocacy & Support
Dedicated outreach for older adults?especially those who are isolated, homebound, or underserved. Services include wellness checks, resource navigation, benefits assistance, and connection to community programs that promote safety, independence, and social engagement.

7. Community Cleanups & Service Days
Participants of all ages engage in neighborhood beautification, park cleanups, and community service projects that build pride, unity, and civic responsibility. These events also serve as entry points for residents to learn about additional programs and supports.

8. Youth & Family Engagement Events
Seasonal events, workshops, and family-centered activities create safe, uplifting spaces for children and caregivers. Opportunities include back-to-school drives, sports-themed gatherings, holiday outreach, and empowerment workshops that strengthen family bonds and community connection.

9. Transitional Housing Support & Advocacy
Participants experiencing housing instability receive guidance, referrals, and advocacy to access emergency shelter, supportive housing, rental assistance, and stabilization services. Staff walk alongside individuals through each step, ensuring no one navigates the system alone.

10. Faith-Rooted Mentorship & Encouragement
For participants who desire it, Going Deeper offers spiritual encouragement, prayer support, and mentorship grounded in compassion and respect. These optional services help individuals build inner strength, purpose, and hope as they work toward personal transformation",Flexible hours,937 Home Street,"Expected Participant Activities/Duties
Participants in Going Deeper LLC programs engage in meaningful, community-centered activities that promote personal growth, skill-building, and service to others. While each program has its own focus, participants are generally expected to:

1. Actively Engage in Program Sessions
Attend scheduled workshops, support groups, trainings, or service days.

Participate in discussions, activities, and hands-on learning opportunities.

Contribute respectfully to a safe, trauma-informed environment.

2. Contribute to Community Service Projects
Assist with community cleanups, garden maintenance, outreach events, or distribution days.

Help prepare, assemble, or distribute Bags of Victory and other resource kits.

Support neighborhood beautification and family-friendly engagement events.

3. Demonstrate Responsibility and Accountability
Arrive on time and communicate if unable to attend.

Follow program guidelines, safety protocols, and staff instructions.

Treat fellow participants, volunteers, and community members with dignity and respect.

4. Participate in Skill-Building and Workforce Activities (as applicable)
Engage in hands-on training through Compassion Cosmetics or other workforce pathways.

Practice customer service, communication, and teamwork skills.

Complete assigned tasks that build confidence and employability.

5. Support Garden-Based Learning (for Garden of Hope participants)
Assist with planting, watering, weeding, harvesting, and garden upkeep.

Participate in environmental education and therapeutic garden activities.

Help distribute produce to community members when available.

6. Engage in Personal Development and Wellness Activities
Take part in Trauma Tuesdays, mentorship sessions, or emotional-wellness workshops.

Practice coping strategies, reflection exercises, and resilience-building tools.

Set personal goals and work with staff to track progress.

7. Participate in Resource Navigation (as needed)
Work with staff to complete applications for benefits, housing, or employment.

Gather required documents and follow through on next steps.

Communicate needs, barriers, or changes in circumstances.

8. Uphold a Community-Centered, Respectful Atmosphere
Contribute to a welcoming, inclusive environment for all ages and backgrounds.

Model kindness, cooperation, and positive engagement.

Support peers and encourage a culture of mutual respect."
Acacia Housing and Preservation,"245 E. Mosholu Parkway North, Bronx, NY 10467",,"245 E. Mosholu Parkway North, Bronx, NY 10467",Bronx,https://acacianetwork.org,(516) 597-6774,Nonprofit,Nursing Home or Equivalent Hospital Facility,SNAP/Employment Program Participants,Community service/volunteer opportunities; Shelter/housing support,Legal Aid,Based on client participation,Various locations throughout New York City,Legal Aid
Acacia Housing and Preservation,"748 Beck Street, Bronx, NY 10459",,"748 Beck Street, Bronx, NY 10459",Bronx,https://acacianetwork.org,(516) 597-6774,Nonprofit,Nursing Home or Equivalent Hospital Facility,SNAP/Employment Program Participants,Community service/volunteer opportunities; Shelter/housing support,Legal Aid,Based on client participation,Various locations throughout New York City,Legal Aid
Acacia Housing and Preservation,"847 Fox Street, Bronx, NY 10459",,"847 Fox Street, Bronx, NY 10459",Bronx,https://acacianetwork.org,(516) 597-6774,Nonprofit,Nursing Home or Equivalent Hospital Facility,SNAP/Employment Program Participants,Community service/volunteer opportunities; Shelter/housing support,Legal Aid,Based on client participation,Various locations throughout New York City,Legal Aid
Acacia Housing and Preservation,"1794 Anthony Avenue, Bronx, NY 10457",,"1794 Anthony Avenue, Bronx, NY 10457",Bronx,https://acacianetwork.org,(516) 597-6774,Nonprofit,Nursing Home or Equivalent Hospital Facility,SNAP/Employment Program Participants,Community service/volunteer opportunities; Shelter/housing support,Legal Aid,Based on client participation,Various locations throughout New York City,Legal Aid
Acacia Housing and Preservation,"1628 University Ave, Bronx, NY",,"1628 University Ave, Bronx, NY",Bronx,https://acacianetwork.org,(516) 597-6774,Nonprofit,Nursing Home or Equivalent Hospital Facility,SNAP/Employment Program Participants,Community service/volunteer opportunities; Shelter/housing support,Legal Aid,Based on client participation,Various locations throughout New York City,Legal Aid
Acacia Housing and Preservation,"787 E. 149th Street, Bronx, NY 10455",,"787 E. 149th Street, Bronx, NY 10455",Bronx,https://acacianetwork.org,(516) 597-6774,Nonprofit,Nursing Home or Equivalent Hospital Facility,SNAP/Employment Program Participants,Community service/volunteer opportunities; Shelter/housing support,Legal Aid,Based on client participation,Various locations throughout New York City,Legal Aid
Acacia Housing and Preservation,"1134 College Avenue, Bronx, NY 10456",,"1134 College Avenue, Bronx, NY 10456",Bronx,https://acacianetwork.org,(516) 597-6774,Nonprofit,Nursing Home or Equivalent Hospital Facility,SNAP/Employment Program Participants,Community service/volunteer opportunities; Shelter/housing support,Legal Aid,Based on client participation,Various locations throughout New York City,Legal Aid
Acacia Housing and Preservation,"1186 Washington Avenue, Bronx, NY 10456",,"1186 Washington Avenue, Bronx, NY 10456",Bronx,https://acacianetwork.org,(516) 597-6774,Nonprofit,Nursing Home or Equivalent Hospital Facility,SNAP/Employment Program Participants,Community service/volunteer opportunities; Shelter/housing support,Legal Aid,Based on client participation,Various locations throughout New York City,Legal Aid
